trackname,artist,album,dist
Grow,MUNA,Saves the World,0.7626548686474798
Number One Fan,MUNA,Saves the World,0.8650300885481405
Stayaway,MUNA,Saves the World,0.9544223330006322
Who,MUNA,Saves the World,0.9888056430027106
Navy Blue,MUNA,Saves the World,1.089824662678288
Never,MUNA,Saves the World,1.2154386675159823
Pink Light,MUNA,Saves the World,0.9486402786024184
Taken,MUNA,Saves the World,0.9396236443372697
Hands Off,MUNA,Saves the World,0.5998031929293246
Good News (Ya-Ya Song),MUNA,Saves the World,0.8893110835347167
Memento,MUNA,Saves the World,0.9383138599088459
"It's Gonna Be Okay, Baby",MUNA,Saves the World,0.9948609249306278
So Special,MUNA,About U,0.9257535694278154
Loudspeaker,MUNA,About U,1.0044186689746766
I Know A Place,MUNA,About U,0.9629341613106115
Winterbreak,MUNA,About U,0.936976473890568
Around U,MUNA,About U,1.0965355365600298
After,MUNA,About U,1.029662653990003
Promise,MUNA,About U,1.1157191261926216
If U Love Me Now,MUNA,About U,0.8599824446802241
Crying On The Bathroom Floor,MUNA,About U,1.129595760833835
End of Desire,MUNA,About U,0.9279636997722118
Everything,MUNA,About U,0.9507239723037071
Outro,MUNA,About U,1.0573899730784444
